about1,about2,about_family,age2,birth1,birth2,birth3,birth4,body1,body2,brothers,caste1,caste2,city2,college,complexion1,complexion2,created_for,degree,details,drinking1,drinking2,eating1,eating2,education2,employed1,employed2,family_type1,family_type2,father,fields,gotra,have_children,height1,height2,horoscope,income1,income2,last_login,living,manglik1,manglik2,marital_status1,marital_status2,mother,mother1,mother2,nakshatra,occupation,profileID,raasi,religion1,religion2,sisters,smoking1,smoking2,special1,special2,status1,status2,subcaste,url,values1,values2,weight1,weight2
"Management Lecturer (in Singapore) where I have been a Permanent Resident (Green Card Holder) for 15 years, now living in Bangalore. I am honest, transparent, amiable and compassionate and responsible person, not too materialistic. Though very considerate and accommodating, I am steadfast with my basic values and ethics. Have good sense of humor and am easy-going. I believe in positive thinking and simple living. My hobbies include traveling, yoga, reading, etc. Looking for a partner who is simple, homely, eager to learn and develop together for a better future and believes in mutual care and respect with a life-time commitment. I am a Hindu originally from Assam. Currently living in Bangalore also teaching sometimes in Vietnam/China.","My soulmate should be simple, mature, caring, with a life-time commitment to love,care &amp;     share. Willing to relocate to Singapore. Must be fair, slim, at least 5'2"" &amp;     good-looking. Life-time income security  is guaranteed even if both of us don't work. Caste, community, marital status, religion, social/financial  status, education, career,state, language etc are immaterial. Bride's personality is only consideration. Widow/divorcee also  acceptable. ",,38 to 53,09 Jan 1953,05:20:00,Singapore,,Slim,Slim,,Hindu-Others,Hindu-Others,,,Very Fair ,Fair,Self,MBA/PGDM,"60 yrs, 6ft 2in,<br />
					
					
													
						Hindu-Others,
					
					
													
						Hindu, 
						
					
						
						Hindi ,<br />
																							
					
					
					
				
					
							MBA/PGDM, 				
					
						  	
					
					Education/ Training, <br />
					 
					
					Bangalore,
					 India",No,No,Vegetarian,Doesn't Matter,,Private Sector,,Nuclear,Doesn't Matter,,,,No,6ft 2in,5ft 3in to 6ft,,INR 7 lakhs to 10 lakhs,,"
						17 Oct 2013",,Do Not Know,Do Not Know,Annulled,Doesn't Matter,,Hindi,,,Education/ Training,guwm831215,,Hindu,Hindu,,No,No,None,None,Middle Class,Doesn't Matter,,,Modern,Doesn't Matter,72 Kgs,45 to 65 [Kgs]
"Honesty is the best policy.
God helps the one who strives oneself.
Self-help is the best help.
Actual pleasure lies in service above self.
I am a caring, open-minded and grounded person who is both practical and creative. I enjoy challenges and respect willingness to compromise. I value what life has to offer and people who strive to do their best in achieving their goals. I understand and respect both eastern and western cultures",,,,17 May 1956,06:17:00,India,Dispur,,,,Hindu-Others,,,,,,Self,Ph.D. (Doctorate),"57 yrs, 5ft 7in,<br />
					
					
													
						Hindu-Others,
					
					
													
						Hindu, 
						
					
						
						Assamese ,<br />
																							
					
					
					
				
					
							Ph.D. (Doctorate), 				
					
						  	
					
					Admin/Secretarial, <br />
					 
					
					Guwahati,
					 India",,,,,,,,,,,,,No,5ft 7in,,,INR 50 lakhs and above.,,"
						08 Aug 2013",,Do Not Know,,Never Married,,,Assamese,,,Admin/Secretarial,guwm1375033,,Hindu,,,,,,,,,,,,,,
I am very simple and affectionate person. Have a son of 13yrs old. I am living in a village and my son is studying in a School hostel.,,,36 to 42,27 Aug 1960,08:25:00,India,Kochi,Average,Average,,Brahmin,Brahmin,,,Fair ,Fair,Self,Other Diploma,"53 yrs, 5ft 7in,<br />
					
					
													
						Brahmin,
					
					
													
						Hindu, 
						
					
						
						Tamil ,<br />
																							
					
					
					
				
					
							Other Diploma, 				
					
						  	
					 
					
					Chennai,
					 India",No,No,Vegetarian With Eggs,Doesn't Matter,12th,Private Sector,,Nuclear,Doesn't Matter,,Mechanical,,Yes,5ft 7in,5ft to 5ft 6in,,INR 2 lakhs to 3 lakhs,,"
						22 Sep 2013",,Do Not Know,Do Not Know,Divorced,Doesn't Matter,,Tamil,Tamil,,,chem1116607,,Hindu,Hindu,,No,No,None,None,Upper Middle Class,Doesn't Matter,,,Liberal,Doesn't Matter,65 Kgs,50 to 65 [Kgs]
"Am pleasant in looks. A Consultant doctor from Pune, have no liabilities. Likes swimming, meditation, cooking, etc.",,,40 to 60,10 Aug 1944,13:20:00,India,Pune,Average,,,,,,,Wheatish ,,Friend,MD/ MS (Medicine),"69 yrs, 5ft 7in,<br />
					
					
					
					
													
						Hindu, 
						
					
						
						Marathi ,<br />
																							
					
					
					
				
					
							MD/ MS (Medicine), 				
					
						  	
					
					Health Care, <br />
					 
					
					Pune,
					 India",Occasionally,,Vegetarian With Eggs,,Other School/ Graduation,Private Sector,,Nuclear,,,Anesthesiology,,No,5ft 7in,4ft 10in to 6ft 11in,No,INR 10 lakhs  to 15 lakhs,,"
						10 Nov 2013",,No,No,Divorced,Widowed,,Marathi,Others,,Health Care,drjustjuu,,Hindu,,,No,,,,,,,,Moderate,,,
"I am a medical specialist doctor with a gift for knowing people, what makes a person tick. I also specialize in health, and what makes a person sick. My passion is helping restore people back to mint condition. I got no poison in me, no STD, no hate, no disease. At my peak I can go longer and faster than most men a quarter my age. I seek a vegetarian woman to devote my life to in marriage, to give her children and look after her with all my being. God gave me a beautiful identity and purpose, and a big vision. He even equipped me for the journey. But one gift so far He has held out on, the one gift I'm waiting to receive, my best friend and lover, mother of our children, the queen and saint, the empress whom i will protect with my life and to whom i will give all in me to, to whom i will leave all that is within  me. I ache to find her. She is a lady who understands the meaning of respect, the value of giving it and receiving it, and the same applies to love in all dimensions. She is a woman who is bold and free but true. She must be vegetarian or vegan, and she must belong to Jesus first and last, and be a practicing Catholic (attends mass daily.)","Preferably a vegan or vegetarian and practicing Roman Catholic lady who is eligible to marry in the Roman Catholic Church and who would like to have children, and is open to living in Melbourne Australia. ",,20 to 35,21 Dec 1953,,,,Average,,,Catholic,Catholic,,,,,Self,MD/ MS (Medicine),"59 yrs, 6ft,<br />
					
					
													
						Catholic,
					
					
													
						Christian, 
						
					
						
						English ,<br />
																							
					
					
					
				
					
							MD/ MS (Medicine), 				
					
						  	
					
					Health Care, <br />
					 
					
					Melbourne,
					 Australia",Occasionally,,Vegetarian,,,Private Sector,,,,,Other MD/ MS (Medicine),,Yes,6ft,5ft to 6ft,,US$ $200k and above,,"
						05 Feb 2013",,,,Annulled,Never Married,,English,"Gujarati,Malayalam",,Health Care,SMM1569719,,Christian,Christian,,No,,None,,,,Christian - Roman Catholic,,,,,
"I am a graduate engineer from India with an MBA from England , currently working as a Manager in a large company in US. I have been in US since 1990 and am very adaptaple to new and changed environments.",Looking for a affectionate and loving person.Money is no considertion at all. All that I amlooking for is a person who can share the ups and downs in life.,,38 to 48,16 Oct 1956,08:20:00,United States of America,Delhi,,,,Khatri,,California,,,,Self,MBA/PGDM,"57 yrs, 5ft 7in,<br />
					
					
													
						Khatri,
					
					
													
						Hindu, 
						
					
						
						Punjabi ,<br />
																							
					
					
					
				
					
							MBA/PGDM, 				
					
						  	
					
					Management / Corporate Professionals, <br />
					 
					
					California,
					 United States of America",,,,,,,,,,,,,Yes,5ft 7in,5ft 2in to 6ft 8in,,US$ 1 lakh to 2 lakhs,,"
						15 Oct 2013",,Do Not Know,,Divorced,Divorced,,Punjabi,Punjabi,,Management / Corporate Professionals,calm874284,,Hindu,Hindu,,,,,,,,,,,,,
"hai. i am selvaraj . working govt. of india sevice .living in nagercoilcity in own house . now i am alone.nobady take care me.so, i like lead my remaining life with a caring person with peaceful manner",,,35 to 45,03 Sep 1961,,,,Athletic,,,Nadar,,,,Wheatish ,,Self,12th,"52 yrs, 5ft 5in,<br />
					
					
													
						Nadar,
					
					
													
						Hindu, 
						
					
						
						Tamil ,<br />
																							
					
					
					
				
					
							12th, 				
					
						  	
					
					Government Employee, <br />
					 
					
					Nagercoil,
					 India",No,,Non Vegetarian,,,Central Government,,,,,Other 12th,,Yes,5ft 5in,5ft to 5ft 5in,,INR 4 lakhs to 5 lakhs,,"
						03 Nov 2013",,Do Not Know,Doesn't Matter,Divorced,Divorced,,Tamil,Tamil,,Government Employee,SMM1392231,,Hindu,Hindu,,No,,None,,,,,,,,,
"Hi, myself Anthony Sebastian, working with bank. I am looking for a partner, who is well settled abroad, as i am interested to settled there. I am Christian i.e R.C settled in Raipur, C.G. We are three brothers &amp; one sister, i am the eldest one in my family. I am a Post Graduate in Commerce. I am fun loving person, enjoy natural beauty and traveling.",,,44 to 50,26 Jan 1958,,,,,,,Catholic,,,,,,Self,MBA/PGDM,"55 yrs, 6ft,<br />
					
					
													
						Catholic,
					
					
													
						Christian, 
						
					
						
						Tamil ,<br />
																							
					
					
					
				
					
							MBA/PGDM, 				
					
						  	
					
					Banking, Insurance &amp; Financial Services, <br />
					 
					
					Bhilai,
					 India",Occasionally,,Non Vegetarian,,,Public Sector,,,,,Finance,,Yes,6ft,5ft 5in to 5ft 10in,,INR 7 lakhs to 10 lakhs,,"
						17 Sep 2013",,,,Divorced,Doesn't Matter,,Tamil,Doesn't Matter,,"Banking, Insurance &amp; Financial Services",SMM1514482,,Christian,,,No,,,,,,Christian - Roman Catholic,,,,,
"I live in LA. Have lived here for most part of my adult life. Born in Mumbai.
I am seriously thinking of moving back to India. I am financially independent and hoping to meet some one who will become my best friend and journey with me to explore and enjoy life. Caste, religion, marital status and age are unimportant. What is important is do we have the chemistry.",,,30 to 46,13 Dec 1961,08:10:00,United States of America,Mumbai,Average,Doesn't Matter,,Punjabi,,Mumbai,,Fair ,Doesn't Matter,Friend,ML/LLM (Law),"51 yrs, 5ft 8in,<br />
					
					
													
						Punjabi,
					
					
													
						Hindu, 
						
					
						
						Punjabi ,<br />
																							
					
					
					
				
					
							ML/LLM (Law), 				
					
						  	
					
					Legal, <br />
					 
					
					California,
					 United States of America",Occasionally,Doesn't Matter,Non Vegetarian,Doesn't Matter,Doesn't Matter,,,,,,,,No,5ft 8in,5ft to 5ft 7in,,US$ 1 lakh to 2 lakhs,,"
						09 Nov 2013",,Do Not Know,No,Widowed,Doesn't Matter,,Punjabi,Hindi,,Legal,calm1374473,Sagitiarius,Hindu,,,No,No,None,Doesn't Matter,,,,,,,180 Pounds,
i am retired govt officer independent own residence free from any liability want lady independent free from any liability she shall be entitled for pension should be educated sober and sincere cool minded agreeable,,,50 to 60,01 Jan 1950,,,,Slim,,0 brothers ,Sikh - Jat,,,Punjab University,Whetish Medium ,,Friend,MA (Arts),"63 yrs, 5ft 10in,<br />
					
					
													
						Sikh - Jat,
					
					
													
						Sikh, 
						
					
						
						Punjabi ,<br />
																							
					
					
					
				
					
							MA (Arts), 				
					
						  	
					
					Government Employee, <br />
					 
					
					Patiala,
					 India",Occasionally,,Non Vegetarian,,,Others,,,,,Language- Other Indian,,Yes,5ft 10in,5ft 1in to 5ft 6in,,INR 3 lakhs to 4 lakhs,,"
						11 Oct 2013",,,,Widowed,Doesn't Matter,,Punjabi,Punjabi,,Government Employee,SMM1464875,,Sikh,Sikh,0 sisters ,No,,None,,,,,,,,,
"Hi myself subhash chakraborty..55 year old..a CA student,S/O,Dr,R.N.Chakraborty,Ex-regional director(cbwe)..expired recently..mother housewife,.have a married sister,two uncles,2 aunties..a joint family..i am ambitious,kind,&amp; optimist,peaceful..like to read novels,(agatha christy,ayn rynd,),magazines..music=blues,soft rock=Elton johns,Eric clapton,Bhupinder singh..travelling..gardening..i am an animal lover...",,,,01 Jan 1955,14:00:00,India,Dibrugarh,,,,Brahmin - Bengali,,,,,,Self,CA (Chartered Accountant),"58 yrs, 5ft 9in,<br />
					
					
													
						Brahmin - Bengali,
					
					
													
						Hindu, 
						
					
						
						Bengali ,<br />
																							
					
					
					
				
					
							CA (Chartered Accountant), 				
					
						  	
					
					Non Working, <br />
					 
					
					Dibrugarh,
					 India",,,,,,,,,,,,,No,5ft 9in,,,Unspecified Don't wish to specify,,"
						10 Nov 2013",,Do Not Know,,Never Married,,,Bengali,,,Non Working,dibm1372857,,Hindu,,,,,,,,,,,,,,
"My name is Avnish Kashyap, I am Sincere, loyal, lovable, good company and fun to be with. My actual birth date is 17th Nov. 1928 as this sight doesn't accept these dates. Living in Mississauga (Toronto) Canada since 1966. Simple Easy to get along with, sociable. Looking for healthy lady, age immaterial. Sincere, family oriented, loyal and compromising. You should be willing to move to Canada. I am hoping to find love for once at least in my life.",,,,17 Nov 1938,,India,,Average,,,Kashyap,,,,Wheatish ,,Self,Engineering,"74 yrs, 5ft 9in,<br />
					
					
													
						Kashyap,
					
					
													
						Hindu, 
						
					
						
						Hindi ,<br />
																							
					
					
					
				
					
							Engineering, 				
					
						  	
					
					Non Working, <br />
					 
					
					Mississauga,
					 Canada",Occasionally,,Non Vegetarian,,,Not Working,,,,,,,Yes,5ft 9in,,,Unspecified Don't wish to specify,,"
						28 Aug 2013",,Do Not Know,,Widowed,,,Hindi,,,Non Working,othm1299200,,Hindu,,,No,,,,,,,,,,145 Pounds,
"I am smart, have strong physique, good looking, easy going, very fun loving, non-smoker man. Loves music, watching movies, recreation, long drive.",,,,29 Nov 1956,22:00:00,India,Vadodara,Athletic,,,Brahmin,,,,Fair ,,Self,MBA/PGDM,"56 yrs, 5ft 8in,<br />
					
					
													
						Brahmin,
					
					
													
						Hindu, 
						
					
						
						Marathi ,<br />
																							
					
					
					
				
					
							MBA/PGDM, 				
					
						  	
					
					IT, <br />
					 
					
					Los Angeles,
					 United States of America",Occasionally,,Vegetarian,,,MNC,,Others,,,Executive MBA,,Yes,5ft 8in,,,Unspecified Don't wish to specify,,"
						16 Oct 2013",,Do Not Know,,Divorced,,,Marathi,,,IT,calm791655,,Hindu,,,No,,None,,Upper Middle Class,,,,Modern,,,
"caring energetic established professional, play tennis and workout to stay fit, love music of all kinds, travelled a lot and enjoy it, looking for smart  good looking female who likes to be pampered, travel the world and enjoy life.",,parents are no more,27 to 46,14 Nov 1960,10:30:00,Canada,,Athletic,Doesn't Matter,,Others,,,,Very Fair ,Doesn't Matter,Self,Masters,"52 yrs, 5ft 11in,<br />
					
					
													
						Others,
					
					
													
						Christian, 
						
					
						
						Malayalam ,<br />
																							
					
					
					
				
					
							Masters, 				
					
						  	
					
					Manufacturing/ Engineering/ R&D;, <br />
					 
					
					Canada",Occasionally,Doesn't Matter,Non Vegetarian,Doesn't Matter,Doesn't Matter,Others,,Others,Doesn't Matter,,,,No,5ft 11in,5ft to 5ft 9in,,US$ 1 lakh to 2 lakhs,,"
						26 Oct 2013",,,,Divorced,Doesn't Matter,,Malayalam,Doesn't Matter,,Manufacturing/ Engineering/ R&D;,mahanoronto,,Christian,,,No,Doesn't Matter,None,Doesn't Matter,High Class,Doesn't Matter,Christian - Syrian,,,Doesn't Matter,85 Kgs,
"I AM AN EDUCATED PERSON  I DIVORCED MY WIFE, NOW LIVING ALONE .  I M LOVING , CARING ,PLEASING PERSON .",My life partner will be my HEART sharer we can share our ideas feeling pleasure views jokes bread butter jam and everything what we have and will have in our future. Life is something different which people don't understand but my life partner should be considerable to all time whether good or bad time. she must fear of aallahtala care me and my relatives respect them. Her smile must be permanent with the grace of aallahtaala., ,35 to 50,28 Sep 1959,09:00:00,India,Ajmer,Athletic,,3 brothers ,Sunni,Sunni,,,Wheatish ,,Self,MA (Arts),"54 yrs, 5ft 11in,<br />
					
					
													
						Sunni,
					
					
													
						Spiritual, 
						
					
						
						Hindi ,<br />
																							
					
					
					
				
					
							MA (Arts), 				
					
						  	
					
					Education/ Training, <br />
					 
					
					Udaipur,
					 India",Occasionally,,Non Vegetarian,,,Private Sector,,Nuclear,,Passed,Language- English,,No,5ft 11in,5ft 5in to 6ft,,INR 2 lakhs to 3 lakhs,,"
						23 Oct 2013",,,,Divorced,Doesn't Matter,Passed,Hindi,Doesn't Matter,,Education/ Training,SMM1419962,,Spiritual,Muslim,2 sisters ,Moderate,,None,,Middle Class,,Muslim - Qureshi,,Modern,,85 Kgs,
